# 同义词收敛表。第一列是收敛后固定使用的词，第二列是需要收敛掉的近义词（| 分隔），第三列说明差别。
# 供人工复核对照，脚本不读本表。目标项目有成文术语表时以项目为准，本表只作缺省参考。
授权,认证|鉴权,凭证与连接器用「授权」；「认证」只用于账号身份认证
保存,提交,表单与设置用「保存」；「提交」只用于真正递交他方处理的动作
启用,开启,对象状态用「启用 / 停用」；「开启 / 关闭」用于面板与开关本身
停用,禁用|关闭,同上；「禁用」带惩罚意味，对象状态不用
运行,执行,任务生命周期用「运行」；具体动作步骤用「执行」
失效,过期,终态用「失效」；有效期到点且文案在讲时间时用「过期」
删除,,永久销毁对象；不可逆时同句写明「无法恢复」
移除,,解除关联而非销毁；写「移除」时同句说明哪一方不受影响
创建,新建,产生新对象；同域内在「创建」与「新建」之间只保留一个
添加,新增,往已有容器里加子项用「添加」
搜索,查找|检索,输入框与结果页统一用「搜索」
设置,配置,面向用户的入口用「设置」；「配置」留给系统侧参数
成员,用户|人员,产品内的人用「成员」；「用户」只在讲账号体系时出现
账号,账户,登录身份用「账号」；「账户」留给计费与余额
详情,查看,页面名与入口用「详情」
